"ID","과목","개념","정확주어","흔한상위어","닫는명사","핵심요소","짝개념","한자(뜻)","주자극오류"
"sci_01","과학","광합성","식물 (녹색식물·엽록체)","생물 · 동물 · 세포","과정","빛 · 물 · 이산화탄소 · 양분(포도당) · 엽록체","호흡","光(빛) · 合(합할) · 成(이룰)","①범주 · ②용어 · ④핵심"
"sci_02","과학","증발","액체(표면)","물 · 물질","현상","액체 표면 · 기체로 변함 · 표면적·온도 영향 · 끓음이 아닌 표면에서","끓음(비등) · 응결","蒸(찔) · 發(필)","⑤혼동 · ④핵심"
"sci_03","과학","관성","물체","힘 · 운동 · 에너지","성질","운동 상태 유지 · 외부 힘 없을 때 · 정지·등속 둘 다 포함","힘 · 가속도","慣(익숙할) · 性(성질)","①범주 · ⑤혼동"
"soc_01","사회","민주주의","국민(주권자)","정치 · 제도 · 나라","제도","주권재민 · 다수결 · 기본권 보장 · 선거","독재 · 공화제","民(백성) · 主(주인) · 主義(주장·이념)","①범주 · ④핵심"
"soc_02","사회","분업","생산(일)","경제 · 일 · 협동","방식","일을 나눔 · 전문화 · 효율 증가 · 여러 사람","협업 · 자급자족","分(나눌) · 業(일)","②용어 · ③구조"
"soc_03","사회","기후","한 지역(오랜 기간 평균)","날씨 · 자연 · 환경","상태","오랜 기간 · 평균 · 특정 지역 · 기온·강수","날씨","氣(기운) · 候(철)","⑤혼동 · ④핵심"
"soc_04","사회","지형","땅(지표)","자연 · 환경 · 땅","모양(형태)","땅의 생김새 · 산·평야·해안 등 · 높낮이·기복","기후","地(땅) · 形(모양)","①범주 · ④핵심"
"soc_05","사회","위도","가로선(적도 기준)","선 · 위치 · 지도","좌표(선)","적도(0°) 기준 · 남북 위치 · 0~90° · 기후대와 관련","경도","緯(씨줄) · 度(법도)","⑤혼동 · ①범주"
"soc_06","사회","경도","세로선(본초자오선 기준)","선 · 위치 · 지도","좌표(선)","본초자오선(0°) 기준 · 동서 위치 · 0~180° · 시간대와 관련","위도","經(날줄) · 度(법도)","⑤혼동 · ①범주"
"soc_07","사회","강수량","물의 양(비·눈)","날씨 · 비 · 기후","양","일정 기간 · 내린 비·눈 합 · 지역·계절 차이","기온","降(내릴) · 水(물) · 量(양)","②용어 · ④핵심"
"soc_08","사회","계절풍","바람","바람 · 날씨 · 자연","바람","계절 따라 방향 바뀜 · 여름·겨울 반대 · 대륙·바다 온도차 때문","편서풍 · 무역풍","季(철) · 節(마디) · 風(바람)","④핵심 · ③구조"
"soc_09","사회","열대 기후","기후(저위도)","날씨 · 더움 · 기후","기후","적도 부근 · 연중 고온 · 강수 많음(우림) · 계절 변화 작음","한대 기후","熱(더울) · 帶(띠)","⑤혼동 · ④핵심"
"soc_10","사회","건조 기후","기후","날씨 · 사막 · 기후","기후","강수량 매우 적음 · 증발량 > 강수량 · 사막·초원","열대 우림 기후","乾(마를) · 燥(마를)","④핵심 · ①범주"
"soc_11","사회","온대 기후","기후(중위도)","날씨 · 기후","기후","중위도 · 사계절 뚜렷 · 온화 · 인구 밀집","냉대 기후","溫(따뜻할) · 帶(띠)","⑤혼동 · ④핵심"
"soc_12","사회","냉대 기후","기후(고위도)","날씨 · 추움 · 기후","기후","고위도 · 겨울 길고 추움 · 여름 짧음 · 침엽수림","온대 기후 · 한대 기후","冷(찰) · 帶(띠)","⑤혼동 · ④핵심"
"soc_13","사회","한대 기후","기후(극지방)","날씨 · 추움 · 기후","기후","극지방 · 연중 추움 · 나무 못 자람 · 툰드라·빙설","열대 기후","寒(찰) · 帶(띠)","⑤혼동 · ④핵심"
"soc_14","사회","세계화","현상(세계가 하나로)","변화 · 세계 · 교류","현상(과정)","교통·통신 발달 · 국가 간 교류 확대 · 상호 의존 · 하나의 생활권","지역화","世(세상) · 界(경계) · 化(될)","①범주 · ⑤혼동"
"soc_15","사회","지역화","현상(지역 특색 부각)","변화 · 지역","현상(전략)","지역 고유성 강조 · 경쟁력 확보 · 지리적 표시·브랜드","세계화","地(땅) · 域(지경) · 化(될)","⑤혼동 · ④핵심"
"soc_16","사회","세계시민","사람(구성원)","사람 · 시민 · 국민","사람(자세)","지구촌 문제에 관심 · 책임감 · 다양성 존중 · 함께 해결","국민","世(세상) · 界(경계) · 市(저자) · 民(백성)","①범주 · ④핵심"
"soc_17","사회","상호작용","주고받음(둘 이상)","관계 · 연결 · 영향","작용(관계)","서로 · 영향을 주고받음 · 양방향","일방적 영향","相(서로) · 互(서로) · 作(지을) · 用(쓸)","③구조 · ②용어"
"soc_18","사회","지리적 표시제","제도","제도 · 표시 · 상품","제도","특정 지역 생산 · 품질·명성이 지역 유래 · 이름 보호 · 예: 보성 녹차","지역 브랜드","標(표할) · 示(보일) · 制(법도)","④핵심 · ①범주"
"soc_19","사회","인구 밀도","정도(빽빽함)","인구 · 사람 · 수","정도","일정 넓이당 인구 수 · 명/㎢ · 조밀·희박 비교 · 자연·인문 조건 영향","인구 분포","密(빽빽할) · 度(법도)","②용어 · ④핵심"
"soc_20","사회","도시화","현상(과정)","변화 · 도시 · 발전","현상(과정)","도시 인구 비율 증가 · 촌락→도시 · 2·3차 산업 · 생활양식 변화","이촌향도","都(도읍) · 市(저자) · 化(될)","①범주 · ④핵심"
"soc_21","사회","이촌향도","인구 이동","이동 · 인구 · 이사","현상","촌락 떠남 · 도시로 향함 · 일자리·교육 때문 · 도시화 원인","귀촌","離(떠날) · 村(마을) · 向(향할) · 都(도읍)","④핵심 · ③구조"
"soc_22","사회","인구 구조","구성(연령·성별)","인구 · 사람","구성(구조)","연령·성별별 비율 · 인구 피라미드 · 유소년·청장년·노년 · 모양으로 해석","인구 분포","構(얽을) · 造(지을)","①범주 · ④핵심"
"soc_23","사회","자원","자연물(쓸모 있는)","물건 · 재료 · 자연","자연물","자연에서 얻음 · 인간에게 유용 · 유한성 · 편재성(고르지 않게 분포)","인적 자원","資(재물) · 源(근원)","②용어 · ④핵심"
"soc_24","사회","산업","생산 활동","일 · 경제 · 직업","활동","재화·서비스 생산 · 1·2·3차로 구분 · 부가가치 창출","","産(낳을) · 業(일)","①범주 · ②용어"
"soc_25","사회","문화","생활양식(사람들이 공유)","생활 · 사회 · 사람","양식(방식)","사회 구성원 공유 · 후천적 학습 · 의식주·언어·종교 · 변화·전승","본능","文(글월) · 化(될)","①범주 · ④핵심"
"soc_26","사회","문화 상대주의","태도(문화를 보는)","생각 · 태도 · 문화","태도(관점)","그 사회 입장에서 이해 · 각 문화 고유 가치 · 우열 없음","자문화 중심주의 · 문화 사대주의","相(서로) · 對(대할) · 主義(주장·이념)","⑤혼동 · ④핵심"
"soc_27","사회","자문화 중심주의","태도","생각 · 태도 · 문화","태도","자기 문화 우월시 · 남 문화 낮게 봄 · 결속 vs 갈등 유발","문화 사대주의 · 문화 상대주의","自(스스로) · 中(가운데) · 心(마음)","⑤혼동 · ④핵심"
"soc_28","사회","문화 사대주의","태도","생각 · 태도 · 문화","태도","다른 문화 우월시 · 자기 문화 낮춤 · 주체성 상실 위험","자문화 중심주의","事(섬길) · 大(큰)","⑤혼동 · ④핵심"
"soc_29","사회","다문화주의","태도(정책)","문화 · 사회 · 생각","관점(정책)","여러 문화 공존 인정 · 차이 존중 · 조화 지향","문화 상대주의","多(많을) · 文(글월) · 化(될)","①범주 · ④핵심"
"soc_30","사회","갈등","부딪힘(둘 이상)","싸움 · 문제 · 관계","상태(현상)","입장·이해관계 다름 · 대립·긴장 · 개인~국가 수준","공존 · 협력","葛(칡) · 藤(등나무)","②용어 · ⑤혼동"
"soc_31","사회","공존","함께 있음(서로 다른)","함께 · 관계 · 삶","상태","서로 다름 인정 · 함께 살아감 · 존중·조화","갈등","共(함께) · 存(있을)","⑤혼동 · ④핵심"
"soc_32","사회","편견","생각(치우친)","생각 · 마음","생각","한쪽으로 치우침 · 근거 부족 · 차별로 이어짐","차별","偏(치우칠) · 見(볼)","②용어 · ③구조"
"soc_33","사회","차별","대우(불리하게 대함)","행동 · 대우","행동","다르다는 이유로 · 불리하게 대함 · 편견에서 비롯","편견 · 평등","差(다를) · 別(나눌)","③구조 · ⑤혼동"
"soc_34","사회","난민","사람","사람 · 이민자 · 외국인","사람","전쟁·박해 피함 · 고국 떠남 · 국제적 보호 필요","이주민","難(어려울) · 民(백성)","①범주 · ⑤혼동"
"sci_04","과학","세포","기본 단위(생물체의)","생물 · 몸 · 부분","단위","생물의 기본 단위 · 핵·세포막 등 · 동물세포·식물세포 · 크기 매우 작음","조직","細(가늘) · 胞(세포)","①범주 · ④핵심"
"sci_05","과학","조직","모임(같은 세포들의)","세포 · 부분 · 몸","모임(단계)","모양·기능 비슷한 세포 · 모여서 이룸 · 기관보다 작음","기관 · 세포","組(짤) · 織(짤)","①범주 · ⑤혼동"
"sci_06","과학","기관","모임(여러 조직의)","세포 · 조직 · 몸","모임(단계)","여러 조직이 모임 · 일정한 기능 수행 · 예: 위·잎","기관계 · 조직","器(그릇) · 官(벼슬)","①범주 · ⑤혼동"
"sci_07","과학","기관계","모임(여러 기관의, 동물)","기관 · 몸 · 조직","모임(단계)","관련된 기관들의 모임 · 협력해 기능 · 동물에만 있음 · 예: 소화계","기관 · 개체","器(그릇) · 官(벼슬) · 系(이어맬)","①범주 · ④핵심"
"sci_08","과학","변이","차이(같은 종 안의)","차이 · 다름 · 종류","차이(현상)","같은 종 개체 사이 · 서로 다른 형질 · 다양성의 바탕","종","變(변할) · 異(다를)","②용어 · ④핵심"
"sci_09","과학","생물다양성","다양한 정도(생물의)","생물 · 자연 · 종류","정도(개념)","종의 다양함 · 유전·생태계 다양성 포함 · 환경 따라 다름 · 보전 필요","변이","多(많을) · 樣(모양) · 性(성질)","①범주 · ④핵심"
"sci_10","과학","단세포 생물","생물(세포 하나)","생물 · 세포","생물","몸이 세포 하나 · 한 세포가 모든 기능 · 예: 아메바·짚신벌레","다세포 생물","單(홑) · 細(가늘) · 胞(세포)","⑤혼동 · ④핵심"
"sci_11","과학","다세포 생물","생물(여러 세포)","생물 · 세포","생물","몸이 많은 세포로 · 세포마다 역할 나눔 · 구성 단계 있음","단세포 생물","多(많을) · 細(가늘) · 胞(세포)","⑤혼동 · ④핵심"
